"client_code_client";"client_pro_part";"client_societe_nom";"client_societe_adresse";"client_societe_cp";"client_societe_ville";"client_contact_nom";"client_contact_prenom";"client_coefficient";"client_cond_paie";"client_encours";"client_observations";"client_liv_adresse";"client_liv_cp";"client_liv_ville";"client_liv_contact_nom";"client_liv_contact_tel";"client_liv_contact_mail";"client_fact_adresse";"client_fact_cp";"client_fact_ville";"client_fact_contact_nom";"client_fact_contact_tel";"client_fact_contact_mail";"commercial_code"
"128";"IML47IVJ4FS";"RBV75EXJ1JP";"CJM98NKX4IQ";"1";"XOK22RIW7PZ";"Hoyt Raymond";"Nolan Ramos";NULL;NULL;NULL;NULL;"5851 Vestibulum St.";"1";"NHZ17KME7DQ";"Avye Hopkins";NULL;"enim.nec@yahoo.net";"810-9934 Erat Rd.";"2";"TDO16ANY5ED";"Juliet Sanders";NULL;"odio.sagittis@outlook.com";"10"
"129";"EIV29PTD3HN";"QYF61RZS4YB";"DSE75HSY1DL";"3";"OVQ98YNT2YW";"Xaviera Reyes";"Cassandra Murphy";NULL;NULL;NULL;NULL;"753-6566 Ipsum. Street";"3";"EUT76HGW0WF";"Francis Hartman";NULL;"molestie.arcu@aol.ca";"665-6292 Libero St.";"4";"HPU34YXT1ZZ";"Amos O'donnell";NULL;"molestie@aol.com";"1"
"130";"BTP34RJN8SQ";"GJL72WYJ6CP";"GTT53EDN7RM";"3";"ASO86RLM9QW";"Kermit Mcpherson";"Jasper Howell";NULL;NULL;NULL;NULL;"3706 Aliquam Rd.";"3";"YRR28LNL2DZ";"TaShya Blanchard";NULL;"amet.diam.eu@yahoo.edu";"P.O. Box 976, 2326 Ut Rd.";"1";"VSE31NUA1QJ";"Myles Petersen";NULL;"ac.libero@hotmail.com";"9"
"131";"HLF01GKT3UX";"NHT75LTC7UH";"QTB86BUE2VY";"4";"IQK47BBS4JT";"Willow Glass";"Colton Barker";NULL;NULL;NULL;NULL;"Ap #127-4814 Libero Ave";"4";"CPL42BDO0LS";"Pearl Leblanc";NULL;"habitant@outlook.net";"231-1488 Dui. Rd.";"0";"YYD74SRP5RS";"Violet Harmon";NULL;"maecenas.malesuada.fringilla@protonmail.ca";"3"
"132";"NWH52BPP2TP";"VAH97JCI8MI";"DUT15VOY1AQ";"4";"DUU95ULU3FW";"Fleur Avila";"Rhoda Anderson";NULL;NULL;NULL;NULL;"528-9246 Nunc Rd.";"2";"MBV66FJD8XR";"Clarke Justice";NULL;"eget@hotmail.couk";"636-5472 Tellus Rd.";"1";"MZK68NTB7EP";"Alika Bryan";NULL;"cursus.diam.at@google.ca";"3"
"133";"SCR50UNP3EG";"JHC25VLJ8YT";"JDU92ZCW6DA";"4";"KZU96WBV4RN";"Barbara Gallegos";"Orla Peterson";NULL;NULL;NULL;NULL;"596-8336 Phasellus St.";"3";"YZK57BAW6NA";"Shafira Swanson";NULL;"sed.leo@hotmail.net";"Ap #729-674 Vitae Avenue";"5";"FUY84LLB4TY";"Damon Hester";NULL;"egestas.sed.pharetra@hotmail.org";"7"
"134";"DDV77WZL7RB";"YGT12TXQ7QY";"KSD28YHG4WE";"4";"DMC52AQK2IL";"Amery Finch";"Ivy Whitney";NULL;NULL;NULL;NULL;"860-5209 Scelerisque Rd.";"2";"HTV81HCJ4BZ";"Sydney Justice";NULL;"risus@aol.ca";"672-174 Lorem, Ave";"3";"WIP47CXV5IR";"Dora Marquez";NULL;"et.lacinia.vitae@yahoo.com";"10"
"135";"QJJ58RAJ3YH";"VIS47AFZ0FR";"HTW73PIK3UY";"3";"JNY43FNP7BJ";"Walker Knight";"Tasha Olson";NULL;NULL;NULL;NULL;"529-5083 Pede. Avenue";"3";"YXN76NNM4PP";"Amena Sears";NULL;"purus.duis@outlook.org";"3743 Senectus Ave";"3";"AVX28WHT6RI";"Josephine Mcleod";NULL;"neque.et.nunc@yahoo.edu";"2"
"136";"RJE75OFL2BY";"UII16FLH8KL";"QUL54KWB7KV";"5";"YPI70GGE5WT";"Boris Chaney";"Ella Osborne";NULL;NULL;NULL;NULL;"252-2056 Libero. Ave";"1";"QSC55ZYY3YW";"Amelia Patel";NULL;"vitae.aliquet@google.net";"137-7104 Et Av.";"4";"SLD60GID6CA";"Eve Cobb";NULL;"vitae.sodales@protonmail.net";"9"
"137";"BPG76NQT8UK";"VWY17QIS7DS";"IQN73CWV1GE";"4";"UKA97IUY3BZ";"Ciara Pope";"Chaney Garza";NULL;NULL;NULL;NULL;"7705 Mauris Rd.";"1";"WPK54DJM6IK";"Zahir Gutierrez";NULL;"pharetra.nam.ac@aol.ca";"557 Fusce Av.";"3";"OXR88FNC6RB";"Holmes Pickett";NULL;"laoreet.libero@yahoo.com";"4"
"138";"PDM81LHC4RP";"WVC26DEC3WH";"MXR45BAS2WV";"2";"PTT79FQT6CG";"Avye Ratliff";"Aidan Bridges";NULL;NULL;NULL;NULL;"P.O. Box 826, 6923 Amet Ave";"0";"BLS13FQZ2QL";"Moana Bell";NULL;"lobortis.tellus@aol.net";"P.O. Box 106, 4280 Quam Street";"2";"CNP68REY9XM";"Katelyn Powers";NULL;"mauris.integer@google.com";"10"
"139";"NXJ35JMJ3HO";"LBH24QCS6QI";"PNS36WAE3CG";"3";"XIF94FLU5UH";"Herrod Clarke";"Ulla Hendrix";NULL;NULL;NULL;NULL;"Ap #768-512 Nec St.";"5";"ENS92JPF2MW";"Deborah Huber";NULL;"primis.in@google.org";"P.O. Box 391, 7649 Sed, Rd.";"1";"BYQ22YNW5PL";"Colin Daugherty";NULL;"nulla.cras@protonmail.net";"1"
"140";"LVA68BII7EX";"SVU51PIE5TI";"TMS59HYJ4JM";"2";"MQT30MTB4FH";"Bell Moore";"Tanner Casey";NULL;NULL;NULL;NULL;"Ap #105-2352 Luctus Ave";"5";"EQF42OAH7OY";"Silas Clark";NULL;"velit.dui@google.couk";"Ap #527-339 Lacus. Street";"0";"IHK38KLM2NB";"Suki Mosley";NULL;"duis@aol.com";"5"
"141";"NNU59KJM3MG";"NMK33OMD8LH";"GDB17JGM2FT";"1";"XTC40JIY2TL";"Ethan Madden";"Joelle Hendrix";NULL;NULL;NULL;NULL;"Ap #584-5307 Dui Av.";"0";"HUA34CNN0MN";"Amir Cooper";NULL;"ut.mi@yahoo.couk";"Ap #567-1837 Nec, Rd.";"3";"EXR38VVW5WK";"Phoebe Calderon";NULL;"sed.pede@protonmail.com";"4"
"142";"KJB49XCK5HT";"SHG27GMI5LO";"WYP45FFC7WJ";"2";"ROK48XEH7VC";"Jaime Rocha";"Gary Pierce";NULL;NULL;NULL;NULL;"P.O. Box 809, 6420 Ut St.";"3";"NRN41XMB2PN";"Joelle Barrera";NULL;"nec.ante@icloud.net";"7903 Volutpat Rd.";"3";"KHG28NUD3VW";"Addison Zamora";NULL;"eget.ipsum@outlook.org";"2"
"143";"JHV68RCA0KU";"FTR13GCA4HG";"MXX38QMO1TI";"1";"JVB82SLS0CM";"Mark Mejia";"Meredith Mckay";NULL;NULL;NULL;NULL;"P.O. Box 319, 4103 Donec Rd.";"1";"RMY15XLI3YO";"Maite Drake";NULL;"lacus.cras@outlook.net";"Ap #963-6853 Nullam Av.";"4";"BXT23EWP4HG";"Garth Barber";NULL;"nisl.nulla@protonmail.net";"8"
"144";"BKJ31FPV1YS";"JWV75KZY1BI";"WES64EOW3QD";"4";"FGP87KZL6NV";"Omar Barrett";"Armand Morris";NULL;NULL;NULL;NULL;"370-391 Ligula Av.";"2";"BAM33RTC5TE";"Berk Whitaker";NULL;"tincidunt.aliquam@google.edu";"6198 Non, Rd.";"2";"FBN62FRB8VB";"Leonard Wells";NULL;"bibendum.sed@outlook.org";"10"
"145";"GOO77VYD9VT";"LHK73OKQ9HU";"ABV32EDM5TG";"2";"QFC80EMV7OY";"Reagan Roach";"Jesse Hernandez";NULL;NULL;NULL;NULL;"Ap #921-8143 Netus Rd.";"1";"XQD58NRH7PG";"Len Fulton";NULL;"curabitur.consequat@yahoo.net";"6308 Quisque Av.";"2";"ASF80HWR4IQ";"Yoko Moreno";NULL;"sem.consequat@outlook.edu";"5"
"146";"HZD72QGT7RK";"RVW17LEK7HR";"XDL10KET5DY";"5";"ZTM75IRA8XK";"Hollee Hernandez";"Dustin Kinney";NULL;NULL;NULL;NULL;"943-4336 Aptent Av.";"3";"LTQ69DWP0OM";"Ignatius Dennis";NULL;"vivamus@protonmail.edu";"830-1033 Integer Street";"1";"EMG48MJR0JS";"Gareth Brennan";NULL;"tempor.augue@outlook.couk";"9"
"147";"YTZ85UQE7BH";"VGL60MCF5OS";"TSY66LRG9QK";"0";"THN23JDM8NI";"Lael Palmer";"Martha Dillon";NULL;NULL;NULL;NULL;"328 Consequat St.";"3";"KBK71ESN9AS";"Mercedes Mathews";NULL;"mollis.lectus.pede@icloud.net";"Ap #602-9242 Imperdiet St.";"3";"OBW36VZM8BO";"Ira Fletcher";NULL;"et@hotmail.ca";"8"
"148";"FTL61ZOW5FP";"EKR51TQH5MK";"CXH63LQN4TH";"5";"YWS26NDG6PP";"Ginger Cox";"Scarlett Aguilar";NULL;NULL;NULL;NULL;"473-9034 Sit Rd.";"2";"NZB64FJP2US";"Lila Pratt";NULL;"lorem.ipsum@google.couk";"4105 Curabitur Street";"4";"TQW77NOQ7JA";"Logan Davenport";NULL;"nonummy@icloud.ca";"9"
"149";"JKH43CGD9EI";"BKW91JKB3FD";"BMF69SLM1KY";"1";"QMD76MMK1DX";"Uriel Dodson";"Knox Sellers";NULL;NULL;NULL;NULL;"Ap #206-1492 Sed Ave";"1";"VYL55BIZ2EQ";"Hammett Rowland";NULL;"mauris.blandit@aol.com";"493-9706 Lorem, St.";"2";"UBL77MXN2BY";"Regina Pierce";NULL;"donec@icloud.org";"2"
"150";"KZB53EQU7HR";"MZH72WPQ2UM";"NFR68ZKP8PK";"2";"OFN88LZT3CC";"Anthony Callahan";"Seth Yang";NULL;NULL;NULL;NULL;"Ap #710-8438 Luctus. Road";"0";"TCG02SOZ6BW";"Jared Porter";NULL;"mollis.lectus@yahoo.org";"844-7267 Nulla Rd.";"0";"ZHC44REB4DG";"Gemma Haley";NULL;"malesuada.fringilla.est@yahoo.org";"5"
